Reaction Name,Reaction Equation,Pathways
R_Campodonico_118,3hppnl_c + nadh_c + h_c --> 13ppd_c + nad_c,"[array([118, 119], dtype=uint8), array([118, 120], dtype=uint8), array([118, 122], dtype=uint8), array([118,  53], dtype=uint8), array([118, 129, 127,  47], dtype=uint8), array([118, 129, 127,  48], dtype=uint8), array([118, 129, 127,  49], dtype=uint8), array([118, 129, 127,  50], dtype=uint8), array([118, 129, 127,  51], dtype=uint8), array([118, 130, 131], dtype=uint8), array([118, 130, 132], dtype=uint8), array([118, 133, 131], dtype=uint8), array([118, 133, 132], dtype=uint8), array([118, 130, 134], dtype=uint8), array([118, 133, 134], dtype=uint8), array([118, 135, 136], dtype=uint8), array([118, 137, 136], dtype=uint8)]"
R_Campodonico_119,3hpp_c + nadh_c + h_c --> 3hppnl_c + nad_c + h2o_c,"[array([118, 119], dtype=uint8), array([121, 119], dtype=uint8)]"
R_Campodonico_120,3hpp_c + nadph_c + h_c --> 3hppnl_c + nadp_c + h2o_c,"[array([118, 120], dtype=uint8), array([121, 120], dtype=uint8)]"
R_Campodonico_121,3hppnl_c + nadph_c + h_c --> 13ppd_c + nadp_c,"[array([121, 119], dtype=uint8), array([121, 120], dtype=uint8), array([121, 122], dtype=uint8), array([121,  53], dtype=uint8), array([121, 129, 127,  47], dtype=uint8), array([121, 129, 127,  48], dtype=uint8), array([121, 129, 127,  49], dtype=uint8), array([121, 129, 127,  50], dtype=uint8), array([121, 129, 127,  51], dtype=uint8), array([121, 130, 131], dtype=uint8), array([121, 130, 132], dtype=uint8), array([121, 133, 131], dtype=uint8), array([121, 133, 132], dtype=uint8), array([121, 130, 134], dtype=uint8), array([121, 133, 134], dtype=uint8), array([121, 135, 136], dtype=uint8), array([121, 137, 136], dtype=uint8)]"
R_Campodonico_122,ghb_c + o2_c --> 3hppnl_c + h2o_c + co2_c,"[array([118, 122], dtype=uint8), array([121, 122], dtype=uint8)]"
R_Campodonico_53,glyc_c --> 3hppnl_c + h2o_c,"[array([118,  53], dtype=uint8), array([121,  53], dtype=uint8)]"
R_Campodonico_123,etoh_c + h2o_c --> 13ppd_c,"[array([123, 124], dtype=uint8)]"
R_Campodonico_124,12ppd_R_c --> etoh_c + h2o_c,"[array([123, 124], dtype=uint8)]"
R_Campodonico_125,mal_D_c --> 13ppd_c + co2_c,"[array([125, 126, 127,  49], dtype=uint8), array([125, 128, 127,  49], dtype=uint8), array([125, 126, 127,  50], dtype=uint8), array([125, 128, 127,  50], dtype=uint8), array([125, 126, 127,  51], dtype=uint8), array([125, 128, 127,  51], dtype=uint8)]"
R_Campodonico_126,mal_D_c + nadh_c + h_c --> mal_D_c + nad_c,"[array([125, 126, 127,  49], dtype=uint8), array([125, 126, 127,  50], dtype=uint8), array([125, 126, 127,  51], dtype=uint8)]"
R_Campodonico_127,mal_D_c + nadph_c + h_c --> mal_D_c + nadp_c + h2o_c,"[array([125, 126, 127,  49], dtype=uint8), array([125, 128, 127,  49], dtype=uint8), array([125, 126, 127,  50], dtype=uint8), array([125, 128, 127,  50], dtype=uint8), array([125, 126, 127,  51], dtype=uint8), array([125, 128, 127,  51], dtype=uint8), array([118, 129, 127,  47], dtype=uint8), array([118, 129, 127,  48], dtype=uint8), array([121, 129, 127,  47], dtype=uint8), array([121, 129, 127,  48], dtype=uint8), array([118, 129, 127,  49], dtype=uint8), array([121, 129, 127,  49], dtype=uint8), array([118, 129, 127,  50], dtype=uint8), array([121, 129, 127,  50], dtype=uint8), array([118, 129, 127,  51], dtype=uint8), array([121, 129, 127,  51], dtype=uint8)]"
R_Campodonico_49,glx_c + accoa_c + h2o_c --> mal_D_c + coa_c,"[array([125, 126, 127,  49], dtype=uint8), array([125, 128, 127,  49], dtype=uint8), array([118, 129, 127,  49], dtype=uint8), array([121, 129, 127,  49], dtype=uint8)]"
R_Campodonico_128,mal_D_c + nadph_c + h_c --> mal_D_c + nadp_c,"[array([125, 128, 127,  49], dtype=uint8), array([125, 128, 127,  50], dtype=uint8), array([125, 128, 127,  51], dtype=uint8)]"
R_Campodonico_50,ac_c + glx_c --> mal_D_c,"[array([125, 126, 127,  50], dtype=uint8), array([125, 128, 127,  50], dtype=uint8), array([118, 129, 127,  50], dtype=uint8), array([121, 129, 127,  50], dtype=uint8)]"
R_Campodonico_51,fum_c + h2o_c --> mal_D_c,"[array([125, 126, 127,  51], dtype=uint8), array([125, 128, 127,  51], dtype=uint8), array([118, 129, 127,  51], dtype=uint8), array([121, 129, 127,  51], dtype=uint8)]"
R_Campodonico_129,mal_D_c --> 3hppnl_c + co2_c,"[array([118, 129, 127,  47], dtype=uint8), array([118, 129, 127,  48], dtype=uint8), array([121, 129, 127,  47], dtype=uint8), array([121, 129, 127,  48], dtype=uint8), array([118, 129, 127,  49], dtype=uint8), array([121, 129, 127,  49], dtype=uint8), array([118, 129, 127,  50], dtype=uint8), array([121, 129, 127,  50], dtype=uint8), array([118, 129, 127,  51], dtype=uint8), array([121, 129, 127,  51], dtype=uint8)]"
R_Campodonico_47,oaa_c + nadh_c + h_c --> mal_D_c + nad_c,"[array([118, 129, 127,  47], dtype=uint8), array([121, 129, 127,  47], dtype=uint8)]"
R_Campodonico_48,oaa_c + nadph_c + h_c --> mal_D_c + nadp_c,"[array([118, 129, 127,  48], dtype=uint8), array([121, 129, 127,  48], dtype=uint8)]"
R_Campodonico_130,ppal_c + nadh_c + h_c --> 3hppnl_c + nad_c,"[array([118, 130, 131], dtype=uint8), array([118, 130, 132], dtype=uint8), array([121, 130, 131], dtype=uint8), array([121, 130, 132], dtype=uint8), array([118, 130, 134], dtype=uint8), array([121, 130, 134], dtype=uint8)]"
R_Campodonico_131,msa_c + nadh_c + h_c --> ppal_c + nad_c + h2o_c,"[array([118, 130, 131], dtype=uint8), array([118, 133, 131], dtype=uint8), array([121, 130, 131], dtype=uint8), array([121, 133, 131], dtype=uint8)]"
R_Campodonico_132,msa_c + nadph_c + h_c --> ppal_c + nadp_c + h2o_c,"[array([118, 130, 132], dtype=uint8), array([118, 133, 132], dtype=uint8), array([121, 130, 132], dtype=uint8), array([121, 133, 132], dtype=uint8)]"
R_Campodonico_133,ppal_c + nadph_c + h_c --> 3hppnl_c + nadp_c,"[array([118, 133, 131], dtype=uint8), array([118, 133, 132], dtype=uint8), array([121, 133, 131], dtype=uint8), array([121, 133, 132], dtype=uint8), array([118, 133, 134], dtype=uint8), array([121, 133, 134], dtype=uint8)]"
R_Campodonico_134,glyald_c --> ppal_c + h2o_c,"[array([118, 130, 134], dtype=uint8), array([118, 133, 134], dtype=uint8), array([121, 130, 134], dtype=uint8), array([121, 133, 134], dtype=uint8)]"
R_Campodonico_135,ppap_c + nadh_c + h_c --> 3hppnl_c + nad_c + pi_c,"[array([118, 135, 136], dtype=uint8), array([121, 135, 136], dtype=uint8)]"
R_Campodonico_136,3hpp_c + pi_c --> ppap_c + h2o_c,"[array([118, 135, 136], dtype=uint8), array([118, 137, 136], dtype=uint8), array([121, 135, 136], dtype=uint8), array([121, 137, 136], dtype=uint8)]"
R_Campodonico_137,ppap_c + nadph_c + h_c --> 3hppnl_c + nadp_c + pi_c,"[array([118, 137, 136], dtype=uint8), array([121, 137, 136], dtype=uint8)]"
