Metabolite,Formula
10fthf_c,C20H21N7O7
12dgr120_c,C27H52O5
12dgr140_c,C31H60O5
12dgr141_c,C31H56O5
12dgr160_c,C35H68O5
12dgr161_c,C35H64O5
12dgr180_c,C39H76O5
12dgr181_c,C39H72O5
12ppd__R_c,C3H8O2
12ppd__S_c,C3H8O2
13dpg_c,C3H4O10P2
14dhncoa_c,C32H38N7O19P3S
14glucan_c,C36H62O31
15dap_c,C5H16N2
1ddecg3p_c,C15H29O7P1
1hdec9eg3p_c,C19H35O7P1
1hdecg3p_c,C19H37O7P1
1odec11eg3p_c,C21H39O7P1
1odecg3p_c,C21H41O7P1
1pyr5c_c,C5H6NO2
1tdec7eg3p_c,C17H31O7P1
1tdecg3p_c,C17H33O7P1
23dappa_c,C3H9N2O2
23ddhb_c,C7H7O4
23dhacoa_c,C27H37N7O19P3S
23dhb_c,C7H5O4
23dhba_c,C17H17N5O10P
23dhbzs_c,C10H10NO6
23dhdp_c,C7H5NO4
23dhmb_c,C5H9O4
23dhmp_c,C6H11O4
23doguln_c,C6H7O7
25aics_c,C13H15N4O12P
25dkglcn_c,C6H7O7
25drapp_c,C9H14N5O8P
26dap_LL_c,C7H14N2O4
26dap__M_c,C7H14N2O4
2agpe120_c,C17H36NO7P1
2agpe140_c,C19H40NO7P1
2agpe141_c,C19H38NO7P1
2agpe160_c,C21H44NO7P1
2agpe161_c,C21H42NO7P1
2agpe180_c,C23H48NO7P1
2agpe181_c,C23H46NO7P1
2agpg120_c,C18H36O9P1
2agpg140_c,C20H40O9P1
2agpg141_c,C20H38O9P1
2agpg160_c,C22H44O9P1
2agpg161_c,C22H42O9P1
2agpg180_c,C24H48O9P1
2agpg181_c,C24H46O9P1
2ahbut_c,C6H9O4
2amsa_c,C3H5NO3
2aobut_c,C4H7NO3
2cpr5p_c,C12H13NO9P
2dda7p_c,C7H10O10P
2ddecg3p_c,C15H30O7P1
2ddg6p_c,C6H8O9P
2ddglcn_c,C6H9O6
2dh3dgal_c,C6H9O6
