id,BiGG_Status,formula,Model status,Reaction,Pathway,InChI
ala_B,Beta-Alanine,'C3H7NO2',"Found in iJO1366, iMM904","0, 1, 34",,"'InChI=1S/C3H7NO2/c4-3(6)1-2-5/h5H,1-2H2,(H2,4,6)'"
aa,Acrylamide,'C3H5NO',Not found in any model,,,"'InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)'"
h2o,H2O H2O,'H2O',"Found in iJO1366, iMM904","0, 1, 2, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 29, 30, 34, 35, 37, 41, 42, 45, 49, 51, 52, 53, 54, 56, 58, 62, 64, 65, 67, 69, 72, 73, 79, 84, 89, 95, 98, 99, 112, 113, 114, 117, 119, 120, 122, 123, 124, 127, 131, 132, 134, 136, 144, 145, 148, 150, 151, 153, 154, 156, 168, 169, 170, 172, 174, 180, 182, 185, 193, 195, 197","[45], [46, 49], [46, 51], [52, 53], [52, 53], [54, 53], [54, 53], [55, 56, 57], [58, 3, 4], [58, 5, 4], [58, 6, 4], [58, 6, 4], [55, 56, 59, 60], [55, 56, 61, 60], [55, 56, 62, 63], [55, 56, 62, 63], [55, 56, 64, 63], [55, 56, 64, 63], [55, 56, 65, 66], [55, 56, 65, 66], [67, 68, 15], [67, 69, 14, 15], [67, 69, 14, 15], [67, 69, 14, 15], [67, 69, 70], [67, 69, 70], [197, 13, 14, 15], [197, 13, 14, 15], [197, 16, 14, 15], [197, 16, 14, 15], [197, 17, 14, 15], [197, 17, 14, 15], [197, 17, 14, 15], [118, 119], [118, 120], [121, 119], [121, 120], [118, 122], [121, 122], [118, 53], [121, 53], [123, 124], [123, 124], [125, 126, 127, 49], [125, 126, 127, 49], [125, 128, 127, 49], [125, 128, 127, 49], [125, 126, 127, 50], [125, 128, 127, 50], [125, 126, 127, 51], [125, 126, 127, 51], [125, 128, 127, 51], [125, 128, 127, 51], [118, 129, 127, 47], [118, 129, 127, 48], [121, 129, 127, 47], [121, 129, 127, 48], [118, 129, 127, 49], [118, 129, 127, 49], [121, 129, 127, 49], [121, 129, 127, 49], [118, 129, 127, 50], [121, 129, 127, 50], [118, 129, 127, 51], [118, 129, 127, 51], [121, 129, 127, 51], [121, 129, 127, 51], [118, 130, 131], [118, 130, 132], [118, 133, 131], [118, 133, 132], [121, 130, 131], [121, 130, 132], [121, 133, 131], [121, 133, 132], [118, 130, 134], [118, 133, 134], [121, 130, 134], [121, 133, 134], [118, 135, 136], [118, 137, 136], [121, 135, 136], [121, 137, 136]",'InChI=1S/H2O/h1H2'
3hpp,3-Hydroxypropanoate,'C3H6O3',Found in iJO1366,"1, 43, 44, 45, 46, 52, 54, 55, 58, 67, 119, 120, 136, 197","[43], [44], [45], [46, 47], [46, 48], [46, 49], [46, 50], [46, 51], [52, 53], [54, 53], [55, 56, 57], [58, 3, 4], [58, 5, 4], [58, 6, 4], [55, 56, 59, 60], [55, 56, 61, 60], [55, 56, 62, 63], [55, 56, 64, 63], [55, 56, 65, 66], [67, 68, 15], [67, 69, 14, 15], [67, 69, 70], [197, 13, 14, 15], [197, 16, 14, 15], [197, 17, 14, 15], [118, 119], [118, 120], [121, 119], [121, 120], [118, 135, 136], [118, 137, 136], [121, 135, 136], [121, 137, 136]","'InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)'"
nh4,Ammonium,'H4N',"Found in iJO1366, iMM904","1, 2, 8, 12, 26, 27, 33, 80, 148, 168, 169, 179, 180, 182",,'InChI=1S/H3N/h1H3/p+1'
acryl,Acrylic acid,'C3H4O2',Not found in any model,"13, 16, 17, 197","[197, 13, 14, 15], [197, 13, 14, 15], [197, 16, 14, 15], [197, 16, 14, 15], [197, 17, 14, 15], [197, 17, 14, 15]","'InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)'"
b2coa,Crotonoyl-CoA,'C24H38N7O17P3S',Found in iJO1366,"3, 4, 5, 6, 23, 24","[58, 3, 4], [58, 3, 4], [58, 5, 4], [58, 5, 4], [58, 6, 4], [58, 6, 4]","'InChI=1/C24H38N7O17P3S/c1-4-15(33)52-8-7-26-14(32)5-6-27-22(36)19(35)24(2,3)10-45-51(42,43)48-50(40,41)44-9-13-18(47-49(37,38)39)17(34)23(46-13)31-12-30-16-20(25)28-11-29-21(16)31/h4,11-13,17-19,23,34-35H,1,5-10H2,2-3H3,(H,26,32)(H,27,36)(H,40,41)(H,42,43)(H2,25,28,29)(H2,37,38,39)'"
succ,Succinate,'C4H6O4',"Found in iJO1366, iMM904","3, 13, 38, 87, 96, 183","[58, 3, 4], [197, 13, 14, 15]","'InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)'"
succoa,Succinyl-CoA,'C25H40N7O19P3S',Found in iJO1366,"3, 13, 38, 87, 96, 150, 151, 183","[58, 3, 4], [197, 13, 14, 15]","'InChI=1/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t13-,18-,19-,20?,24-/s2'"
ppcoa,Propanoyl-CoA,'C24H40N7O17P3S',Found in iJO1366,"4, 70, 75, 76, 86, 177","[58, 3, 4], [58, 5, 4], [58, 6, 4], [67, 69, 70]","'InChI=1/C24H40N7O17P3S/c1-4-15(33)52-8-7-26-14(32)5-6-27-22(36)19(35)24(2,3)10-45-51(42,43)48-50(40,41)44-9-13-18(47-49(37,38)39)17(34)23(46-13)31-12-30-16-20(25)28-11-29-21(16)31/h11-13,17-19,23,34-35H,4-10H2,1-3H3,(H,26,32)(H,27,36)(H,40,41)(H,42,43)(H2,25,28,29)(H2,37,38,39)/t13-,17-,18-,19?,23-/s2'"
o2,O2 O2,'O2',"Found in iJO1366, iMM904","4, 37, 39, 70, 110, 114, 122, 148, 153, 154, 169, 182","[58, 3, 4], [58, 5, 4], [58, 6, 4], [67, 69, 70], [118, 122], [121, 122]",'InChI=1S/O2/c1-2'
h2o2,Hydrogen peroxide,'H2O2',"Found in iJO1366, iMM904","4, 39, 70, 110, 148, 169, 182","[58, 3, 4], [58, 5, 4], [58, 6, 4], [67, 69, 70]",'InChI=1S/H2O2/c1-2/h1-2H'
ac,Acetate,'C2H4O2',"Found in iJO1366, iMM904","5, 16, 18, 40, 45, 50, 55, 56, 88, 97, 158, 184","[45], [46, 50], [55, 56, 57], [55, 56, 57], [58, 5, 4], [55, 56, 59, 60], [55, 56, 59, 60], [55, 56, 61, 60], [55, 56, 61, 60], [55, 56, 62, 63], [55, 56, 62, 63], [55, 56, 64, 63], [55, 56, 64, 63], [55, 56, 65, 66], [55, 56, 65, 66], [197, 16, 14, 15], [125, 126, 127, 50], [125, 128, 127, 50], [118, 129, 127, 50], [121, 129, 127, 50]","'InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)'"
